country_code,life_expectancy,pm25,water_access,mortality,health_exp,gdp,co2_emissions,forest_area,renewable_energy,hdi
DZA,76.62406333333332,0.22822800000000001,93.28045333333334,16.686166666666665,5.41731,4468.45341883656,5.87613044839412,0.814110350369751,0.2,0.742
ECU,77.76709,1.191754,93.71963,9.535333333333334,7.80768,6205.05759479761,4.04200779226277,50.5802061523595,17.7,0.758
EGY,71.62143333333334,0.059324,98.80682999999999,35.5595,4.59947,2962.98892023003,2.94358441804191,0.0451855944547692,6.2,0.724
ESP,83.11112666666666,4.268854,99.94459666666667,3.4475,9.13488,29776.2011500384,6.99596775947268,37.1677215644695,16.7,0.904
EST,78.73300333333333,4.738668,99.98962666666667,4.489000000000001,6.81699,24021.2501413306,14.1541399565,57.0385964912281,31.3,0.893
ETH,68.85307,0.739916,55.78664,49.04988888888889,3.24287,828.70897229725,1.42165733953048,15.1886779997606,89.3,0.485
FIN,81.63673333333332,3.3289720000000003,100.0,2.5452777777777778,9.17143,48358.1807773701,10.4739273320117,73.7307932747672,45.4,0.939
FJI,67.91232000000001,1.219702,95.04614666666667,40.995777777777775,4.28229,5950.82868635508,3.42332869529861,62.0328407224959,26.5,0.73
FRA,82.48525666666667,4.582668,100.0,3.4084444444444446,11.09938,40408.2848574751,6.55412870199978,31.3567354631573,15.5,0.905
FSM,66.01067333333333,0.6307240000000001,90.11429,85.12272222222222,11.89308,3572.65918282222,0.436154585517129,91.9857142857143,2.0,0.64
GAB,65.10994,2.64154,76.04665999999999,25.82122222222222,2.77686,7441.1786472281,8.79373252088234,91.3667869755889,90.2,0.702
GBR,81.21297333333334,3.9356160000000004,100.0,4.530166666666667,9.95388,42662.5353740311,6.59217404331629,13.1525647914686,11.4,0.933
GEO,73.79797,3.0549500000000003,93.75831000000001,32.018277777777776,6.59412,4741.2832715876,4.75527806457839,40.6159159591308,24.7,0.816
GHA,66.01093333333334,0.7500720000000001,84.14961666666666,64.16944444444444,3.2545,2186.18924111824,1.36645046721826,35.0651553840542,42.6,0.599
GIN,61.09350666666666,0.133524,70.6631,82.40894444444444,4.08876,1031.34146480732,1.97315615221508,25.3499918606544,68.3,0.47
GMB,64.93185666666666,0.34561000000000003,82.68981666666666,74.64677777777779,3.14535,738.186751987483,0.780961265753951,24.5454545454545,47.4,0.492
GNB,58.94279333333333,1.316656,62.284416666666665,79.61427777777777,7.17018,807.359903965493,1.46064229433815,70.7130156472262,86.2,0.488
GRC,80.90534333333333,2.648696,100.0,7.754277777777777,8.19828,19335.3602002969,7.6624792871052,30.2699767261443,18.5,0.89
GTM,72.70106666666668,0.648564,93.42921666666666,31.309833333333334,6.17443,4511.99755157656,2.38614768890872,33.0291153415453,62.8,0.645
GUY,68.76843333333333,2.063992,95.21828333333333,32.12716666666667,4.90332,6405.82443444562,7.79172057721952,93.5968503937008,11.3,0.711
HND,71.44409,1.113776,94.09102666666666,37.59316666666667,7.28237,2502.32744328073,2.16139312462558,57.0221646259719,46.2,0.629
HRV,78.59092666666668,4.055252,100.0,10.681333333333335,6.74317,15563.8167397199,6.49297739650933,34.6045672217854,31.6,0.866
HTI,63.667660000000005,1.21042,64.59643666666666,69.96416666666667,3.91108,1352.17204191532,1.24203489854224,12.7144412191582,76.4,0.559
HUN,76.28078333333333,4.398283999999999,100.0,14.484,6.28167,16786.2136399075,6.87985159563249,22.5122726276572,13.6,0.854
IDN,71.40351333333334,0.032154,91.33534333333334,32.4345,2.87863,4106.94856173421,4.06906755753539,49.3942964092507,19.8,0.718
IND,70.77141,1.1918,92.14073,47.10272222222222,2.953,2041.42863698585,2.6222684764564,24.1806275414622,33.5,0.638
IRL,81.93637333333334,4.426182,96.14999999999999,4.291277777777777,6.71555,82508.4659883582,12.4533169582963,11.2936565539265,12.3,0.942
IRN,77.84895999999999,0.044913999999999996,96.44300333333332,19.347444444444445,6.27399,3831.27894763337,10.0711981925948,6.6215531587057,1.0,0.785
IRQ,72.84213333333334,0.06544599999999999,96.87233666666667,30.477777777777778,4.28183,5671.8568632942,9.1492385773986,1.90036118379833,0.9,0.678
ISL,82.49066333333333,3.062668,100.0,2.7368333333333332,8.63996,68452.23622306,12.2095167834747,0.502727362888029,81.7,0.958
ISR,82.54538333333333,1.022828,100.0,5.125055555555556,7.17439,44140.8289372511,9.03237243207422,6.46950092421442,4.5,0.909
ITA,82.94501333333334,3.037916,99.91703,5.081888888888889,8.65634,33812.788724868,6.83814639639274,32.1669704480973,17.3,0.899
JAM,72.28603,1.390148,90.59842666666667,12.09811111111111,6.09761,5607.24300668501,3.45287434327062,54.7553093259464,9.2,0.712
JOR,79.95287,0.114892,98.35266999999999,12.930444444444444,7.07245,4170.1144003465,3.01369269982237,1.09804716534901,8.5,0.744
JPN,84.44052666666667,2.576216,99.06232,4.006444444444444,10.96998,40415.9567649547,9.76437500493552,68.4087791495199,7.8,0.918
KAZ,73.08197333333334,1.543088,95.12233666666667,28.350499999999997,2.78746,9457.12614657136,15.1634434009533,1.26882246175501,1.9,0.81
KEN,66.5197,0.9215139999999999,66.17381333333334,44.8395,4.36875,1960.40808854893,1.89453992452409,6.34481849808483,68.1,0.604
KGZ,73.54794333333334,1.775882,91.01677333333333,42.660555555555554,4.25462,1421.99927504102,3.1664388287416,6.76298227320125,28.3,0.699
KHM,69.52817,1.8019219999999998,79.16006,55.0895,5.05801,2225.87705485686,2.7772195695195,46.589961477453,53.0,0.596
KIR,62.11849,0.156792,72.82917666666667,84.41527777777777,10.166,1750.99750920482,0.921554861565029,1.45679012345679,42.2,0.636
KOR,83.60368,3.1020139999999996,99.7658,6.485722222222222,8.12675,31902.4169048194,13.9514224544228,64.5184426229508,3.2,0.922
KWT,83.06909666666667,0.0,100.0,14.175222222222223,5.26273,31707.8737464917,33.8219073114114,0.350729517396184,0.1,0.838
LAO,68.40739333333333,2.9607040000000002,86.87901666666666,65.87916666666666,2.60312,2589.32081035237,4.65558091067304,72.053726169844,50.5,0.617
LBR,63.44165666666667,1.136368,73.94288,51.373333333333335,8.38326,658.164180770507,0.835870977002891,79.3988787375415,89.7,0.485
LCA,76.19154666666667,4.092066,96.96911666666666,9.277999999999999,4.17376,11794.2056521711,2.54923703007413,34.0491803278688,10.0,0.733
LKA,77.36563333333334,1.024818,90.76032333333332,31.321111111111108,3.89905,4082.69404871533,1.8465945053433,34.2067102490331,46.1,0.775
LSO,51.88485333333333,1.3902619999999999,76.71289666666667,98.7975,21.96987,1082.05706777516,1.1982411554242,1.13702239789196,41.6,0.528
LTU,76.17213666666667,4.386008,97.26141666666666,13.4365,6.98445,19727.7607453736,8.23259561002199,35.1325455126158,33.5,0.886
LUX,82.79104666666667,4.513382,99.49064666666668,4.2074444444444445,5.46496,112726.439672814,17.0330370434886,34.4538272103664,16.4,0.925
LVA,75.56881333333332,5.16,98.68433333333333,14.007944444444444,6.63697,17294.9751600969,6.40221504403231,54.7498674208945,41.5,0.873
MAR,73.74708666666666,0.18736199999999997,81.83569333333332,22.1215,4.99531,3508.09765625,2.95808460756759,12.8435805511987,10.7,0.684
MDA,73.27167,2.534212,91.25505,22.7475,6.49662,4405.33418162155,4.73642606627671,11.7527572607105,22.0,0.773
MDG,63.82122666666667,0.28511600000000004,54.75535333333334,70.04766666666666,3.10129,499.818837622534,1.14362190132417,21.3871261601925,82.5,0.498
